ufcstats_bout_id,round,red_deduction,points
171007deb1cc56aa,2,0,1
171007deb1cc56aa,3,0,1
ff872fa3e9ec32a9,1,1,1
48c6c45d9628bb79,2,0,1
fffa21388cdd78b7,3,0,1
3b8b70b448b0c604,2,0,1
671048cd1933855a,2,0,1
70e0e57a6755e31e,2,0,1
7a440fcd8048b091,3,0,2
464133df9ca19865,1,1,1
00dcad4611fc63fe,2,0,1
df8391ca39160d8c,3,0,1
ddb4376695f115b9,1,0,1
5e1370a92ce8abb0,1,0,1
c4da9ec26a924a7d,2,0,1
6be073563a421bca,3,0,1
c46d51fb87a4f485,1,1,1
c4785ee94698e532,2,0,1
0a444f30cae13d8f,1,1,1
5b9f545890407976,4,1,2
6ada4f4286e4261d,1,0,1
f5a038c18f7a44fc,1,1,1
1b4374c9d7e5139c,2,1,1
cd6b799ec79c489a,2,1,1
cd6b799ec79c489a,3,1,1
b87863a2de433824,1,0,1
6ea23c2c30f85a89,1,1,1
7c76c752c7abf2e0,3,0,2
c0568b225d5f0fe6,1,0,1
c258996570faeec9,3,1,1
f3ad8ad8d242678e,1,0,1
8a95f0e3f9111f0c,2,0,1
69397bbebdfa41d9,2,0,1
58d5e4afc2dd35d1,3,0,2
587d373f18f6c8c0,3,1,1
860be3cc82895177,2,1,1
efc6af0151f72b87,3,1,1
ee278a5a25744cac,3,0,1
a0a120c50d93f70a,3,1,1
2ac9b3ccb43422d8,1,0,1
4011cdf1f182804c,2,1,1
01e8868086004dd8,3,1,1
02615499125b4b5d,1,0,1
0eb16f1307f66a11,1,0,1
938c2c71b84e56ff,3,1,1
c483ac06b1e33c3b,3,1,1
6ca856d1950d8f7f,2,1,1
6ca856d1950d8f7f,3,1,1
c98f62eb74e69bcb,2,0,1
84f60cb00b8d4187,3,0,1
56809feb4fe7ea61,3,1,1
767ceb4a0cb43ade,4,0,1
8a121f9c48f3773c,3,0,1
a2f46e94aa6b0c64,2,1,1
baf17e5e1fe1c744,2,0,1
e5e75d831670b401,2,0,1
